MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924803,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,36.2790000,0.0440199,-0.0468783,-0.0825001
MsgID.LOCAL_VELOCITY,36.2790000,-0.0000014,0.0000153,0.0000036
MsgID.GLOBAL_POSITION,0.0000000,-122.3974511,37.7924803,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,36.5290000,0.0425351,-0.0997464,-0.0825000
MsgID.LOCAL_VELOCITY,36.5290000,0.0000213,-0.0000028,0.0000026
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924801,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,36.7790000,0.0210265,-0.0463124,-0.0825000
MsgID.LOCAL_VELOCITY,36.7790000,0.0000102,-0.0000177,0.0000090
MsgID.STATE,0.0000000,True,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974483,37.7924813,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,37.0290000,0.1472910,0.1425873,-0.0825000
MsgID.LOCAL_VELOCITY,37.0290000,-0.0000258,-0.0000260,-0.0000006
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924796,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,37.2800000,-0.0409549,-0.0354796,-0.0825001
MsgID.LOCAL_VELOCITY,37.2800000,0.0000074,-0.0000074,0.0000045
MsgID.GLOBAL_POSITION,0.0000000,-122.3974507,37.7924793,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,37.5290000,-0.0697735,-0.0643286,-0.0825000
MsgID.LOCAL_VELOCITY,37.5290000,-0.0000169,-0.0000051,-0.0000020
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924811,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,37.7800000,0.1294341,0.1322388,-0.0825001
MsgID.LOCAL_VELOCITY,37.7800000,0.0000114,-0.0000149,0.0000063
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924803,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,38.0290000,0.0392368,0.0233047,-0.0825000
MsgID.LOCAL_VELOCITY,38.0290000,-0.0000098,0.0000129,-0.0000033
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924799,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,38.2790000,-0.0002199,-0.0012612,-0.0825000
MsgID.LOCAL_VELOCITY,38.2790000,0.0000189,0.0000234,0.0000015
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924799,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
